DN,Radius,Angle_deg,Material,Schedule,OD_mm,Wall_mm,A_mm,B_mm,Weight_kg,Notes
32,SR,90,Carbon Steel,Sch40,,,,,,
32,SR,90,Stainless Steel,Sch10,,,,,,
32,SR,45,Carbon Steel,Sch40,,,,,,
32,SR,45,Stainless Steel,Sch10,,,,,,
40,SR,90,Carbon Steel,Sch40,,,,,,
40,SR,90,Stainless Steel,Sch10,,,,,,
40,SR,45,Carbon Steel,Sch40,,,,,,
40,SR,45,Stainless Steel,Sch10,,,,,,
50,SR,90,Carbon Steel,Sch40,,,,,,
50,SR,90,Stainless Steel,Sch10,,,,,,
50,SR,45,Carbon Steel,Sch40,,,,,,
50,SR,45,Stainless Steel,Sch10,,,,,,
65,SR,90,Carbon Steel,Sch40,,,,,,
65,SR,90,Stainless Steel,Sch10,,,,,,
65,SR,45,Carbon Steel,Sch40,,,,,,
65,SR,45,Stainless Steel,Sch10,,,,,,
80,SR,90,Carbon Steel,Sch40,,,,,,
80,SR,90,Stainless Steel,Sch10,,,,,,
80,SR,45,Carbon Steel,Sch40,,,,,,
80,SR,45,Stainless Steel,Sch10,,,,,,
100,SR,90,Carbon Steel,Sch40,,,,,,
100,SR,90,Stainless Steel,Sch10,,,,,,
100,SR,45,Carbon Steel,Sch40,,,,,,
100,SR,45,Stainless Steel,Sch10,,,,,,
125,SR,90,Carbon Steel,Sch40,,,,,,
125,SR,90,Stainless Steel,Sch10,,,,,,
125,SR,45,Carbon Steel,Sch40,,,,,,
125,SR,45,Stainless Steel,Sch10,,,,,,
150,SR,90,Carbon Steel,Sch40,,,,,,
150,SR,90,Stainless Steel,Sch10,,,,,,
150,SR,45,Carbon Steel,Sch40,,,,,,
150,SR,45,Stainless Steel,Sch10,,,,,,
200,SR,90,Carbon Steel,Sch40,,,,,,
200,SR,90,Stainless Steel,Sch10,,,,,,
200,SR,45,Carbon Steel,Sch40,,,,,,
200,SR,45,Stainless Steel,Sch10,,,,,,
250,SR,90,Carbon Steel,Sch40,,,,,,
250,SR,90,Stainless Steel,Sch10,,,,,,
250,SR,45,Carbon Steel,Sch40,,,,,,
250,SR,45,Stainless Steel,Sch10,,,,,,
300,SR,90,Carbon Steel,Sch40,,,,,,
300,SR,90,Stainless Steel,Sch10,,,,,,
300,SR,45,Carbon Steel,Sch40,,,,,,
300,SR,45,Stainless Steel,Sch10,,,,,,
350,SR,90,Carbon Steel,Sch40,,,,,,
350,SR,90,Stainless Steel,Sch10,,,,,,
350,SR,45,Carbon Steel,Sch40,,,,,,
350,SR,45,Stainless Steel,Sch10,,,,,,
400,SR,90,Carbon Steel,Sch40,,,,,,
400,SR,90,Stainless Steel,Sch10,,,,,,
400,SR,45,Carbon Steel,Sch40,,,,,,
400,SR,45,Stainless Steel,Sch10,,,,,,
450,SR,90,Carbon Steel,Sch40,,,,,,
450,SR,90,Stainless Steel,Sch10,,,,,,
450,SR,45,Carbon Steel,Sch40,,,,,,
450,SR,45,Stainless Steel,Sch10,,,,,,
500,SR,90,Carbon Steel,Sch40,,,,,,
500,SR,90,Stainless Steel,Sch10,,,,,,
500,SR,45,Carbon Steel,Sch40,,,,,,
500,SR,45,Stainless Steel,Sch10,,,,,,
600,SR,90,Carbon Steel,Sch40,,,,,,
600,SR,90,Stainless Steel,Sch10,,,,,,
600,SR,45,Carbon Steel,Sch40,,,,,,
600,SR,45,Stainless Steel,Sch10,,,,,,
